feature,importance
rolling_7d_avg,0.6311292498242891
inventory_ratio,0.0736748345429909
lag_7_units_sold,0.052001263121627825
days_to_season_end,0.04571616759896604
days_since_launch,0.044997509336239104
lag_14_units_sold,0.04008485731771172
is_holiday,0.01574283211619663
discount_pct,0.014604083036966527
markdown_stage,0.01456577828410755
dow_Saturday,0.010463424171649773
category_jackets,0.008111641294641472
dow_Sunday,0.007181523029390221
category_jeans,0.005543741149295664
category_shoes,0.004831536540860637
dow_Friday,0.004183094813213728
dow_Monday,0.00398733557073917
season_summer,0.003979125423026493
category_tshirts,0.0038619192868049905
season_fall,0.0035637075571523665
dow_Tuesday,0.00276749443703461
dow_Thursday,0.002458938426573016
season_spring,0.0022596872567590665
dow_Wednesday,0.0022390236385636027
season_winter,0.002051232225199783
